,Open,High,Close
0,951.78,951.78,934.09
1,954.68,955.0,947.8
2,953.81,959.7,950.7
3,972.22,986.2,980.34
4,962.25,973.23,972.92
5,975.0,975.9,968.15
6,967.84,973.04,970.89
7,953.0,968.04,965.4
8,957.0,960.74,953.42
9,952.0,956.91,955.99
10,946.29,954.45,947.16
11,938.68,946.3,943.83
12,929.54,931.43,930.09
13,921.77,930.38,928.8
14,908.85,921.54,918.59
15,904.12,914.94,906.69
16,901.76,914.51,911.71
17,912.18,913.94,898.7
18,926.05,926.05,908.73
19,929.92,931.26,917.79
20,929.0,942.75,940.49
21,942.46,948.29,927.33
22,969.9,973.31,952.27
23,956.83,966.0,965.59
24,958.7,960.72,957.09
25,953.64,960.1,959.45
26,957.52,961.62,950.63
27,949.96,959.99,957.37
28,940.0,942.04,939.78
29,933.97,943.34,942.31
30,959.92,961.15,950.76
31,951.91,959.98,953.4
32,939.56,949.36,942.9
33,984.5,984.5,949.83
34,982.35,984.57,983.41
35,979.65,984.15,981.08
36,983.16,988.25,976.57
37,976.55,986.91,983.68
38,969.46,975.88,975.6
39,968.95,971.5,966.95
40,975.02,979.27,964.86
41,970.31,976.2,975.88
42,969.7,974.98,971.47
43,957.33,972.63,969.54
44,952.98,955.09,954.96
45,947.92,951.47,948.82
46,935.0,941.88,941.86
47,931.47,937.76,934.01
48,921.0,933.17,930.24
49,935.67,939.33,919.62
50,940.0,943.11,943.0
51,932.95,938.25,937.08
52,931.53,933.44,932.22
53,925.32,932.53,930.6
54,931.98,932.0,928.78
55,936.95,937.5,932.17
56,926.12,936.92,934.3
57,933.54,934.9,927.13
58,926.07,935.93,931.66
59,914.86,928.1,927.04
60,909.62,920.77,916.44
61,901.94,915.68,912.57
62,910.66,916.85,905.96
63,873.6,875.4,874.25
64,874.23,876.05,871.73
65,865.0,875.0,872.3
66,851.2,863.45,862.76
67,842.88,843.88,843.19
68,841.44,845.2,841.65
69,839.79,842.22,838.21
70,834.22,838.93,836.82
71,825.01,837.75,837.17
72,822.14,826.38,823.56
