,Open,High,Close
0,13.15,14.1,14.0
1,13.74,13.82,13.4
2,14.06,14.11,13.89
3,14.45,14.48,14.08
4,14.8,14.84,14.48
5,15.05,15.14,14.89
6,14.86,15.24,14.97
7,15.17,15.25,14.73
8,15.3,15.43,15.13
9,15.44,15.59,15.27
10,15.78,15.97,15.69
11,15.54,15.75,15.24
12,16.33,16.36,15.47
13,17.16,17.21,16.99
14,17.33,17.38,17.18
15,17.25,17.38,17.31
16,17.57,17.59,17.32
17,17.91,17.92,17.59
18,18.03,18.08,17.77
19,17.69,18.13,17.89
20,17.34,17.78,17.76
21,17.21,17.48,17.34
22,17.7,17.73,17.29
23,17.82,17.82,17.54
24,17.45,17.8,17.64
25,17.27,17.43,17.27
26,17.82,17.89,17.31
27,17.85,18.34,17.88
28,17.14,17.88,17.54
29,17.72,17.75,17.0
30,18.25,18.29,17.88
31,18.38,18.58,18.1
32,18.05,18.43,18.2
33,18.41,18.46,18.08
34,19.4,19.4,18.85
35,20.37,20.49,19.56
36,20.22,20.44,20.36
37,20.52,20.89,20.21
38,21.34,21.45,21.09
39,21.32,21.45,21.34
40,21.5,21.75,21.21
41,21.3,21.58,21.45
42,21.66,21.7,21.22
43,20.16,21.94,21.93
44,20.2,20.62,20.53
45,20.14,20.3,20.03
46,20.14,20.34,20.08
47,20.42,20.64,20.0
48,19.86,20.58,20.27
49,20.56,20.59,19.9
50,20.54,20.88,20.78
51,19.57,20.95,20.74
52,18.44,19.48,19.14
53,17.96,18.9,18.05
54,23.11,23.32,22.98
55,22.7,23.44,23.32
56,23.17,23.57,22.46
57,23.08,23.25,23.19
58,22.18,23.22,22.59
59,21.8,22.21,21.82
60,22.37,22.37,21.99
61,22.66,22.84,22.21
62,22.05,22.59,22.55
63,21.58,22.12,22.01
64,21.25,21.65,21.58
65,21.08,21.4,21.34
66,21.2,21.3,21.2
67,21.37,21.49,20.93
68,20.63,21.26,21.15
69,20.5,20.91,20.62
70,19.83,20.89,20.55
71,20.09,20.21,19.94
72,20.2,20.37,20.19
73,20.7,20.83,20.22
74,21.01,21.2,20.7
75,21.09,21.27,20.97
76,20.68,21.08,20.82
77,20.76,20.76,20.57
78,22.15,22.22,20.7
79,22.21,22.67,22.14
80,22.7,22.9,22.35
81,22.05,22.62,22.53
82,22.55,22.85,22.23
83,21.77,22.71,22.55
84,23.31,23.36,22.21
85,23.09,24.4,23.83
86,23.05,23.1,22.74
87,22.69,23.3,23.13
88,20.65,22.25,21.82
89,20.04,20.54,20.38
90,19.94,20.43,19.93
91,19.8,19.85,19.54
92,20.65,20.69,19.89
93,20.08,21.4,20.77
94,20.9,20.98,20.58
95,22.05,22.15,21.09
96,23.36,23.4,22.07
97,23.15,23.68,22.71
98,22.03,23.43,22.81
99,22.21,22.5,21.44
100,28.17,28.25,23.77
101,26.39,29.44,27.09
102,24.0,26.05,24.48
